epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,335.16,1.47586,2.60672,1.20371,0.84097,0.53,0.66877,0.31452,1.83383,2.82499,1.41252,0.0001337,0.0001337,0.0001337
76,339.707,1.49459,2.55604,1.18097,0.84097,0.53,0.66877,0.31452,1.83383,2.82499,1.41252,0.00012875,0.00012875,0.00012875
77,344.048,1.18409,2.41326,1.13172,0.84097,0.53,0.66877,0.31452,1.83383,2.82499,1.41252,0.0001238,0.0001238,0.0001238
78,348.645,1.48954,2.60714,1.21622,0.9374,0.44923,0.68051,0.31734,1.83136,2.75418,1.41795,0.00011885,0.00011885,0.00011885
79,353.075,1.40652,2.46309,1.20804,0.9374,0.44923,0.68051,0.31734,1.83136,2.75418,1.41795,0.0001139,0.0001139,0.0001139
80,357.448,1.44095,2.541,1.22506,0.9374,0.44923,0.68051,0.31734,1.83136,2.75418,1.41795,0.00010895,0.00010895,0.00010895
81,361.961,1.22968,2.37665,1.16964,0.9374,0.44923,0.68051,0.31734,1.83136,2.75418,1.41795,0.000104,0.000104,0.000104
82,366.473,1.38323,2.53021,1.12521,0.92,0.34508,0.68195,0.32337,1.83683,2.6681,1.42787,9.905e-05,9.905e-05,9.905e-05
83,370.869,1.53101,2.14293,1.30604,0.92,0.34508,0.68195,0.32337,1.83683,2.6681,1.42787,9.41e-05,9.41e-05,9.41e-05
84,375.236,1.20176,2.66575,1.15319,0.92,0.34508,0.68195,0.32337,1.83683,2.6681,1.42787,8.915e-05,8.915e-05,8.915e-05
85,379.522,1.41893,2.53649,1.18953,0.92,0.34508,0.68195,0.32337,1.83683,2.6681,1.42787,8.42e-05,8.42e-05,8.42e-05
86,384.018,1.37913,2.09351,1.10904,0.90267,0.37098,0.68291,0.32428,1.83415,2.55624,1.43248,7.925e-05,7.925e-05,7.925e-05
87,388.492,1.37587,2.49722,1.13462,0.90267,0.37098,0.68291,0.32428,1.83415,2.55624,1.43248,7.43e-05,7.43e-05,7.43e-05
88,392.974,1.41815,2.11172,1.10384,0.90267,0.37098,0.68291,0.32428,1.83415,2.55624,1.43248,6.935e-05,6.935e-05,6.935e-05
89,397.427,1.73939,2.78707,1.24803,0.90267,0.37098,0.68291,0.32428,1.83415,2.55624,1.43248,6.44e-05,6.44e-05,6.44e-05
90,402.099,1.42941,2.37989,1.22929,0.91189,0.41406,0.69638,0.33024,1.84271,2.50432,1.43893,5.945e-05,5.945e-05,5.945e-05
91,406.583,1.53311,1.92249,1.11813,0.91189,0.41406,0.69638,0.33024,1.84271,2.50432,1.43893,5.45e-05,5.45e-05,5.45e-05
92,410.954,1.4095,2.22894,1.2199,0.91189,0.41406,0.69638,0.33024,1.84271,2.50432,1.43893,4.955e-05,4.955e-05,4.955e-05
93,415.204,1.99872,2.37639,1.48722,0.91189,0.41406,0.69638,0.33024,1.84271,2.50432,1.43893,4.46e-05,4.46e-05,4.46e-05
94,419.629,1.42406,2.00457,1.2428,0.86052,0.49362,0.70976,0.33517,1.83708,2.34001,1.42052,3.965e-05,3.965e-05,3.965e-05
95,423.919,1.39784,1.78008,1.1845,0.86052,0.49362,0.70976,0.33517,1.83708,2.34001,1.42052,3.47e-05,3.47e-05,3.47e-05
96,428.219,1.13533,2.39213,1.05277,0.86052,0.49362,0.70976,0.33517,1.83708,2.34001,1.42052,2.975e-05,2.975e-05,2.975e-05
97,432.545,1.35259,1.83909,1.12556,0.86052,0.49362,0.70976,0.33517,1.83708,2.34001,1.42052,2.48e-05,2.48e-05,2.48e-05
98,436.879,1.37586,2.30233,1.18125,0.82296,0.51,0.721,0.33647,1.80879,2.19216,1.41789,1.985e-05,1.985e-05,1.985e-05
99,441.199,1.43374,2.14698,1.17292,0.82296,0.51,0.721,0.33647,1.80879,2.19216,1.41789,1.49e-05,1.49e-05,1.49e-05
100,445.455,1.40583,2.03137,1.19796,0.82296,0.51,0.721,0.33647,1.80879,2.19216,1.41789,9.95e-06,9.95e-06,9.95e-06
